id,tagName,dateCreated,dateOccurred,description,status,submitted by (username),submitted by (first name),submitted by (last name),created in group,clientId,section,region,accuracy(m),latitude,longitude,Extralimital,Animal,Animal Age,Animal Sex,Count,Behaviour,Identifier,Spotted From,Condition,Notes
2281710,Animal Sighting,2022-01-22 12:18:21,2022-01-20 08:00:00,Raza (No Deena),Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2144309,30.888826,,Black Rhino,Adult,Female,1,Moving,Landowner,,,
2291400,Animal Sighting,2022-01-31 12:18:36,2022-01-19 01:00:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,Male,2,Moving,Camera trap,,,
2277293,Animal Sighting,2022-01-18 19:01:31,2022-01-18 19:01:00,Raza,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2174318,30.8880454,,Black Rhino,Sub-Adult,Female,1,Moving,Landowner,,,
2277294,Animal Sighting,2022-01-18 19:02:21,2022-01-18 17:00:00,Khuza and Kwezi,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2193887,30.8950835,,Black Rhino,Adult,Female,2,Drinking,Landowner,,,
2291407,Animal Sighting,2022-01-31 12:22:51,2022-01-17 19:13:00,White 2x,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,Adult,Male,2,Drinking,Camera trap,,,
2275899,Animal Sighting,2022-01-17 17:02:45,2022-01-17 16:02:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2012011,30.9652153,,White Rhino,Adult,Male,2,Resting,Lodge,,,
2273783,Animal Sighting,2022-01-15 16:58:16,2022-01-15 16:57:00,Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.222376,30.8904138,,Black Rhino,Adult,Male,1,,Landowner,,,
2273784,Animal Sighting,2022-01-15 16:59:55,2022-01-14 20:30:00,Dotty,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.207317,30.8857957,,Black Rhino,Sub-Adult,Male,1,Wallowing,Landowner,,,
2271948,Animal Sighting,2022-01-13 18:34:05,2022-01-13 18:33:00,Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2185803,30.8938658,,Black Rhino,Adult,Male,1,Moving,Landowner,,,
2291404,Animal Sighting,2022-01-31 12:21:35,2022-01-13 16:35:00,White Rhino,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,Adult,,1,Feeding,Camera trap,,,
2281746,Animal Sighting,2022-01-22 14:00:11,2022-01-12 18:45:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.1838216,30.9463825,,White Rhino,Adult,Male,2,Drinking,Camera trap,,,
2270490,Animal Sighting,2022-01-12 15:11:11,2022-01-12 08:00:00,Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2179797,30.8871013,,Black Rhino,Adult,Male,1,Moving,Landowner,,,
2270548,Animal Sighting,2022-01-12 16:30:06,2022-01-11 16:00:00,White and calf,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Mopani,South African Districts,,-24.2399736,30.9223777,,White Rhino,Adult,Female,1,Moving,Lodge,,,
2268912,Animal Sighting,2022-01-11 16:48:22,2022-01-11 09:30:00,Khuza and Kwezi,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2235373,30.8908778,,Black Rhino,Adult,Female,2,Moving,Landowner,,,
2281745,Animal Sighting,2022-01-22 13:58:48,2022-01-11 09:16:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,Male,2,Wallowing,Camera trap,,,
2268910,Animal Sighting,2022-01-11 16:46:25,2022-01-10 17:30:00,Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2179015,30.8861572,,Black Rhino,Adult,Male,1,Moving,Landowner,,,
2281744,Animal Sighting,2022-01-22 13:57:39,2022-01-10 17:11:00,Romeo,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,Male,1,Wallowing,Camera trap,,,
2281738,Animal Sighting,2022-01-22 13:52:15,2022-01-09 15:40:00,White Rhino,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,Adult,,1,Drinking,Camera trap,,,
2281743,Animal Sighting,2022-01-22 13:56:34,2022-01-08 09:33:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,Male,2,Drinking,Camera trap,,,
2264500,Animal Sighting,2022-01-08 08:45:59,2022-01-08 08:00:00,Tumela Tyiani Kambani Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Mopani,South African Districts,,-24.2266972,30.9160168,,Black Rhino,Adult,,4,Moving,Barrie,,,
2264458,Animal Sighting,2022-01-08 08:17:28,2022-01-07 16:00:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2002191,30.9655841,,White Rhino,Adult,Male,2,Resting,Lodge,,,
2281737,Animal Sighting,2022-01-22 13:51:29,2022-01-07 15:44:00,White Rhino,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,Adult,,1,Feeding,Camera trap,,,
2263852,Animal Sighting,2022-01-07 17:28:34,2022-01-07 13:00:00,Khuza and Kwezi,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2177058,30.8873749,,Black Rhino,Adult,Female,2,Moving,Landowner,,,
2263621,Animal Sighting,2022-01-07 11:05:43,2022-01-07 10:30:00,Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.1878916,30.8432579,,Black Rhino,Adult,Male,1,Moving,Andy,,,
2281742,Animal Sighting,2022-01-22 13:55:26,2022-01-06 10:00:00,Stompie and Balu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,Male,2,Drinking,Camera trap,,,
2281741,Animal Sighting,2022-01-22 13:54:22,2022-01-04 18:14:00,White Rhino,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,,1,Moving,Camera trap,,,
2281736,Animal Sighting,2022-01-22 13:50:17,2022-01-04 15:29:00,Isaac,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,Black Rhino,Adult,Male,1,Moving,Camera trap,,,
2259549,Animal Sighting,2022-01-04 09:26:56,2022-01-04 09:29:00,Zulu,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2146266,30.8883968,,Black Rhino,Adult,Male,1,Drinking,Landowner,,,
2281735,Animal Sighting,2022-01-22 13:49:19,2022-01-02 08:21:00,White Rhino,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.22769,30.97016,,White Rhino,Adult,,1,Moving,Camera trap,,,
2281739,Animal Sighting,2022-01-22 13:53:17,2022-01-01 15:53:00,White Rhino,Logged,leoniehofstra,Leonie,Hofstra,Black Mambas,9519,Olifants West,Balule,,-24.2051,30.95471,,White Rhino,Adult,,,Drinking,Camera trap,,,
